,clusters,silhouette_score,method,linkage,return_mode,window_size/span,df_mode,window_size,min_per_cluster,max_per_cluster,min_max_delta,silhouette_norm,delta_norm,total_score
769,5,0.1216838956764071,kshape,not_applicable,geometric,3,3day,3.0,0.0856,0.4054,0.3198,0.4850260137315144,0.6966859547606523,0.5908559842460833
770,6,0.1640854221092376,kshape,not_applicable,geometric,3,3day,3.0,0.0631,0.2613,0.1982,0.5291886160877404,0.8246186217780116,0.676903618932876
771,7,0.1763725957145889,kshape,not_applicable,geometric,3,3day,3.0,0.0676,0.2973,0.2297,0.5419861167360871,0.7914781693845345,0.6667321430603108
772,4,0.1621196265287171,kshape,not_applicable,geometric,3,full,3.0,0.1396,0.5045,0.3649,0.5271411745015587,0.6492372435560232,0.588189209028791
773,5,0.1740987548821905,kshape,not_applicable,geometric,3,full,3.0,0.1441,0.3784,0.2342,0.5396178357577682,0.7867438190426091,0.6631808274001887
774,6,0.1887141021452332,kshape,not_applicable,geometric,3,full,3.0,0.0946,0.2703,0.1757,0.5548402068320357,0.8482903734876381,0.7015652901598369
775,7,0.1807022043836225,kshape,not_applicable,geometric,3,full,3.0,0.045,0.2928,0.2477,0.5464955484026923,0.7725407680168332,0.6595181582097628
776,4,0.1072378449147666,kshape,not_applicable,geometric,3,weekly,3.0,0.1577,0.3739,0.2162,0.4699799706034487,0.8056812204103103,0.6378305955068795
777,5,0.1175076907270964,kshape,not_applicable,geometric,3,weekly,3.0,0.0766,0.3919,0.3153,0.48067635714953555,0.7014203051025776,0.5910483311260566
778,6,0.1257532850740817,kshape,not_applicable,geometric,3,weekly,3.0,0.0721,0.2793,0.2072,0.48926441835798073,0.815149921094161,0.6522071697260708
779,7,0.1457330355483741,kshape,not_applicable,geometric,3,weekly,3.0,0.0586,0.1937,0.1351,0.5100739940880092,0.891004734350342,0.7005393642191756
780,4,-0.0395476813029828,kshape,not_applicable,geometric,60,3day,,,,,0.31709795499316523,,
781,5,-0.0485762372757263,kshape,not_applicable,geometric,60,3day,,,,,0.30769441316768803,,
782,6,-0.0655476223917705,kshape,not_applicable,geometric,60,3day,,,,,0.29001815017980864,,
783,7,-0.0923479098603155,kshape,not_applicable,geometric,60,3day,,,,,0.26210475794896937,,
784,4,0.0301006837316815,kshape,not_applicable,geometric,60,full,,,,,0.38963904746208133,,
785,5,0.040678488010777,kshape,not_applicable,geometric,60,full,,,,,0.40065618301072004,,
786,6,0.0871795195995517,kshape,not_applicable,geometric,60,full,,,,,0.449088556558935,,
787,7,0.0824811076945621,kshape,not_applicable,geometric,60,full,,,,,0.4441950040356665,,
788,4,0.1186134947419468,kshape,not_applicable,geometric,7,3day,7.0,0.1892,0.3784,0.1892,0.48182808887006967,0.8340873224618621,0.6579577056659659
789,5,0.1292569347323559,kshape,not_applicable,geometric,7,3day,7.0,0.1216,0.3288,0.2072,0.49291358619864806,0.815149921094161,0.6540317536464045
790,6,0.1401525728550198,kshape,not_applicable,geometric,7,3day,7.0,0.1036,0.2252,0.1216,0.5042617562837697,0.9052077853761178,0.7047347708299437
791,7,0.1474329952037049,kshape,not_applicable,geometric,7,3day,7.0,0.0946,0.2342,0.1396,0.5118445587019727,0.8862703840084166,0.6990574713551947
792,4,0.129810747952561,kshape,not_applicable,geometric,7,full,7.0,0.1351,0.4685,0.3333,0.49349040111738185,0.6824829037348764,0.5879866524261291
793,5,0.1463214056384936,kshape,not_applicable,geometric,7,full,7.0,0.1261,0.3784,0.2523,0.5106868011379961,0.7677012098895317,0.6391940055137639
794,6,0.1724031920718831,kshape,not_applicable,geometric,7,full,7.0,0.1081,0.2117,0.1036,0.5378518506043745,0.9241451867438191,0.7309985186740968
795,7,0.1752457813779887,kshape,not_applicable,geometric,7,full,7.0,0.0586,0.2703,0.2117,0.5408125020655068,0.8104155707522357,0.6756140364088712
796,4,0.1220942498624053,kshape,not_applicable,geometric,7,weekly,7.0,0.1622,0.3378,0.1757,0.4854534112868868,0.8482903734876381,0.6668718923872625
797,5,0.1093466241047277,kshape,not_applicable,geometric,7,weekly,7.0,0.1126,0.2658,0.1532,0.47217633438225903,0.8719621251972646,0.6720692297897618
798,6,0.1060752231368233,kshape,not_applicable,geometric,7,weekly,7.0,0.0631,0.2658,0.2027,0.46876906128981033,0.8198842714360863,0.6443266663629483
799,7,0.1078839324830283,kshape,not_applicable,geometric,7,weekly,7.0,0.0631,0.2432,0.1802,0.4706528923297371,0.8435560231457128,0.657104457737725
